date, reward, step
2017-02-08 11:18:20, -21, 1397
2017-02-08 11:18:25, -21, 1296
2017-02-08 11:18:27, -21, 1524
2017-02-08 11:18:27, -19, 1712
2017-02-08 11:18:27, -18, 1667
2017-02-08 11:18:29, -19, 1589
2017-02-08 11:18:29, -21, 1289
2017-02-08 11:18:33, -21, 1318
2017-02-08 11:18:33, -20, 1346
2017-02-08 11:18:34, -21, 1214
2017-02-08 11:18:35, -20, 1386
2017-02-08 11:18:35, -20, 1354
2017-02-08 11:18:36, -20, 1602
2017-02-08 11:18:40, -21, 1208
2017-02-08 11:18:42, -20, 1522
2017-02-08 11:18:50, -21, 1325
2017-02-08 11:18:50, -21, 1413
2017-02-08 11:18:50, -20, 1506
2017-02-08 11:18:52, -21, 1293
2017-02-08 11:18:52, -19, 1623
2017-02-08 11:18:53, -21, 1277
2017-02-08 11:18:55, -21, 1302
2017-02-08 11:18:55, -21, 1460
2017-02-08 11:18:55, -21, 1463
2017-02-08 11:18:56, -21, 1360
2017-02-08 11:18:57, -20, 1570
2017-02-08 11:18:57, -20, 1572
2017-02-08 11:18:57, -20, 1570
2017-02-08 11:18:57, -21, 1313
2017-02-08 11:18:58, -18, 1726
2017-02-08 11:18:59, -19, 1618
2017-02-08 11:19:00, -21, 1462
2017-02-08 11:19:00, -18, 1677
2017-02-08 11:19:00, -19, 1539
2017-02-08 11:19:01, -20, 1502
2017-02-08 11:19:05, -21, 1331
2017-02-08 11:19:05, -20, 1384
2017-02-08 11:19:07, -21, 1223
2017-02-08 11:19:07, -21, 1452
2017-02-08 11:19:07, -20, 1457
2017-02-08 11:19:09, -20, 1475
2017-02-08 11:19:10, -21, 1416
2017-02-08 11:19:11, -20, 1427
2017-02-08 11:19:12, -19, 1744
2017-02-08 11:19:14, -20, 1516
2017-02-08 11:19:14, -21, 1275
2017-02-08 11:19:18, -21, 1673
2017-02-08 11:19:19, -19, 1685
2017-02-08 11:19:19, -21, 1234
2017-02-08 11:19:21, -21, 1847
2017-02-08 11:19:23, -21, 1222
2017-02-08 11:19:25, -21, 1378
2017-02-08 11:19:25, -20, 1826
2017-02-08 11:19:26, -19, 1452
2017-02-08 11:19:26, -20, 1476
2017-02-08 11:19:26, -21, 1223
2017-02-08 11:19:27, -20, 1569
2017-02-08 11:19:27, -21, 1595
2017-02-08 11:19:28, -21, 1371
2017-02-08 11:19:30, -20, 1557
2017-02-08 11:19:30, -20, 1380
2017-02-08 11:19:31, -20, 1556
2017-02-08 11:19:31, -21, 1307
2017-02-08 11:19:32, -20, 1476
2017-02-08 11:19:32, -21, 1378
2017-02-08 11:19:32, -19, 1564
2017-02-08 11:19:34, -20, 1499
2017-02-08 11:19:36, -18, 1679
2017-02-08 11:19:37, -21, 1334
2017-02-08 11:19:38, -20, 1614
2017-02-08 11:19:38, -18, 1811
2017-02-08 11:19:38, -20, 1380
2017-02-08 11:19:38, -20, 1480
2017-02-08 11:19:41, -20, 1570
2017-02-08 11:19:45, -20, 1714
2017-02-08 11:19:46, -20, 1599
2017-02-08 11:19:47, -20, 1509
2017-02-08 11:19:48, -20, 1632
2017-02-08 11:19:48, -19, 1750
2017-02-08 11:19:49, -21, 1439
2017-02-08 11:19:51, -21, 1616
2017-02-08 11:19:52, -20, 1473
2017-02-08 11:19:53, -21, 1493
2017-02-08 11:19:53, -20, 1440
2017-02-08 11:19:55, -21, 1304
2017-02-08 11:19:56, -20, 1394
2017-02-08 11:19:57, -21, 1380
2017-02-08 11:19:58, -21, 1401
2017-02-08 11:19:58, -21, 1480
